No face detected|1776750784.2946694
Normal|1776750784.4768074
No face detected|1776750806.2479632
Phone detected|1776750806.4721124
No face detected|1776750806.5743866
Normal|1776750806.8103383
No face detected|1776750806.9274168
Normal|1776750807.0411081
Phone detected|1776750807.161825
No face detected|1776750807.8349686
Phone detected|1776750807.9958477
No face detected|1776750808.7382097
Phone detected|1776750808.8479345
No face detected|1776750809.5864115
Normal|1776750810.2078667
Phone detected|1776750813.5562792
Normal|1776750813.7880893
Phone detected|1776750814.006734
Normal|1776750814.458065
Phone detected|1776750814.5601993
Normal|1776750814.9604282
Phone detected|1776750820.1078613
Normal|1776750820.2207155
Multiple faces detected|1776750822.6158736
Normal|1776750822.7461975
Multiple faces detected|1776750823.4431767
Normal|1776750823.5559433
No face detected|1776750844.1125996
Normal|1776750846.2347224
No face detected|1776750846.4681265
Normal|1776750846.8987315
No face detected|1776750847.2830331
Normal|1776750847.4170113
No face detected|1776750847.7127686
Normal|1776750847.926264
No face detected|1776750856.680238
Normal|1776750856.7948027
No face detected|1776750857.0159333
Normal|1776750857.121125
No face detected|1776750857.3474422
Normal|1776750861.013796
No face detected|1776750861.1295507
Normal|1776750861.3506255
No face detected|1776750871.0403595
Normal|1776750871.1476715
Multiple faces detected|1776750898.457628
Normal|1776750898.5744784
Multiple faces detected|1776750902.65847
Normal|1776750902.76336
Multiple faces detected|1776750903.813841
Normal|1776750903.9817953
Multiple faces detected|1776750905.149894
Normal|1776750905.261723
Phone detected|1776750932.3396816
Normal|1776750932.4630332
No face detected|1776750940.351523
Normal|1776750940.4577093
No face detected|1776750940.7875495
Normal|1776750941.0073276
No face detected|1776750941.1179461
Normal|1776750941.5430586
No face detected|1776750941.7132573
Normal|1776750942.3100514
No face detected|1776750942.4660704
Normal|1776750942.6834726
No face detected|1776750943.0620031
Normal|1776750943.1846125
No face detected|1776750943.29808
Normal|1776750943.405409
No face detected|1776750943.6351364
Normal|1776750943.7497182
No face detected|1776750944.0697083
Normal|1776750944.2728744
No face detected|1776750946.5729053
Normal|1776750947.4507258
No face detected|1776750949.1440246
Phone detected|1776750949.3657763
No face detected|1776750949.4886963
Normal|1776750950.0377507
Phone detected|1776750950.7459667
Normal|1776750950.8532348
Phone detected|1776750951.4047441
Normal|1776750951.690703
Phone detected|1776750955.1728752
Normal|1776750955.3992598
No face detected|1776750959.1813385
Phone detected|1776750959.4622972
No face detected|1776750959.5821943
Phone detected|1776750960.230012
No face detected|1776750960.4513514
Phone detected|1776750960.565622
Normal|1776750963.6039598
Phone detected|1776750964.9756856
Normal|1776750965.23811
No face detected|1776751001.0264783
Normal|1776751001.2716305
No face detected|1776751001.7086499
Normal|1776751001.939752
No face detected|1776751002.0503113
Normal|1776751002.8229766
No face detected|1776751002.9421155
Normal|1776751004.3113651
No face detected|1776751004.4630249
Normal|1776751004.9881628
No face detected|1776751005.611015
Normal|1776751005.9980905
No face detected|1776751011.9080942
Normal|1776751012.2990227
No face detected|1776751012.4322324
Normal|1776751012.5793016
No face detected|1776751014.9161475
Normal|1776751016.425508
No face detected|1776751019.5513966
Normal|1776751020.6137326
